,name,url
92,"Interaction between Human, Plant and Microorganism
                          A2",https://minoren-han.nl/en/558-interaction-between-human-plant-and-microorganism-a2
93,Intercultureel werken,https://minoren-han.nl/en/41-intercultureel-werken
94,Internationalisation,https://minoren-han.nl/en/92-internationalisation
95,"Interventiekunde: procesgericht werken in
                          organisaties",https://minoren-han.nl/en/395-interventiekunde-procesgericht-werken-in-organisaties
96,Jeugd en Gezin,https://minoren-han.nl/en/190-jeugd-en-gezin
97,Kunst en cultuur,https://minoren-han.nl/en/490-kunst-en-cultuur
98,Lean Management (deeltijd),https://minoren-han.nl/en/667-lean-management-deeltijd
99,Lees je rijk,https://minoren-han.nl/en/632-lees-je-rijk
100,Leiderschap in het onderwijs,https://minoren-han.nl/en/491-leiderschap-in-het-onderwijs
101,Leiderschap in zorg en dienstverlening (deeltijd),https://minoren-han.nl/en/273-leiderschap-in-zorg-en-dienstverlening-deeltijd
102,"Leidinggeven aan professionals in zorg en welzijn
                          (voltijd)",https://minoren-han.nl/en/166-leidinggeven-aan-professionals-in-zorg-en-welzijn-voltijd
103,Leraar worden in het PO,https://minoren-han.nl/en/478-leraar-worden-in-het-po
104,Leren en veranderen met technologie,https://minoren-han.nl/en/409-leren-en-veranderen-met-technologie
105,Leren voor het leven,https://minoren-han.nl/en/492-leren-voor-het-leven
106,Lightweight Structural Vehicle Design (full-time),https://minoren-han.nl/en/637-lightweight-structural-vehicle-design-full-time
107,Lint minor Verpleegkunde,https://minoren-han.nl/en/437-lint-minor-verpleegkunde
108,Low Ec High Tech (voltijd),https://minoren-han.nl/en/595-low-ec-high-tech-voltijd
109,Machinebouw (deeltijd),https://minoren-han.nl/en/223-machinebouw-deeltijd
110,Machinebouw (voltijd),https://minoren-han.nl/en/224-machinebouw-voltijd
111,Medische diagnostiek: Cytologie en Histopathologie,https://minoren-han.nl/en/635-medische-diagnostiek-cytologie-en-histopathologie
112,Medische diagnostiek: Medische Microbiologie,https://minoren-han.nl/en/636-medische-diagnostiek-medische-microbiologie
113,"Mens, Gebouw en Omgeving",https://minoren-han.nl/en/453-mens-gebouw-en-omgeving
114,Mobile Robotics (full-time),https://minoren-han.nl/en/473-mobile-robotics-full-time
115,Moleculair & biochemisch onderzoek A1,https://minoren-han.nl/en/561-moleculair-biochemisch-onderzoek-a1
116,Moleculair & biochemisch onderzoek A2,https://minoren-han.nl/en/562-moleculair-biochemisch-onderzoek-a2
117,Molecular and Biochemical research A1,https://minoren-han.nl/en/563-molecular-and-biochemical-research-a1
118,Molecular and Biochemical research A2,https://minoren-han.nl/en/564-molecular-and-biochemical-research-a2
119,Molecular Plant Biology,https://minoren-han.nl/en/571-molecular-plant-biology
120,Neuro Linguïstisch Programmeren (NLP),https://minoren-han.nl/en/188-neuro-linguistisch-programmeren-nlp
121,Neuromarketing in Customer Experience,https://minoren-han.nl/en/655-neuromarketing-in-customer-experience
122,Omgaan met Diversiteit in het VO (deeltijd),https://minoren-han.nl/en/428-omgaan-met-diversiteit-in-het-vo-deeltijd
123,Omgaan met onbegrepen gedrag,https://minoren-han.nl/en/620-omgaan-met-onbegrepen-gedrag
124,Onderneem de Ontdekkingsreis!,https://minoren-han.nl/en/644-onderneem-de-ontdekkingsreis
125,Onderneem: groei met je eigen bedrijf,https://minoren-han.nl/en/656-onderneem-groei-met-je-eigen-bedrijf
126,Onderwijs in Internationaal Perspectief,https://minoren-han.nl/en/359-onderwijs-in-internationaal-perspectief
127,"Onderzoekend en ontwerpend leren: bedrijfs- of
                          instellingsopdrachten",https://minoren-han.nl/en/657-onderzoekend-en-ontwerpend-leren-bedrijfs-of-instellingsopdrachten
128,Ontdek Ontwerp Verander: Hoe ga jij impact maken?,https://minoren-han.nl/en/662-ontdek-ontwerp-verander-hoe-ga-jij-impact-maken
129,Op weg naar de digitale fabriek (voltijd),https://minoren-han.nl/en/663-op-weg-naar-de-digitale-fabriek-voltijd
130,Organic and Polymer Chemistry,https://minoren-han.nl/en/565-organic-and-polymer-chemistry
131,Overheid en Recht,https://minoren-han.nl/en/191-overheid-en-recht
132,Performance development in young athletes,https://minoren-han.nl/en/398-performance-development-in-young-athletes
133,Perioperatieve Zorg,https://minoren-han.nl/en/660-perioperatieve-zorg
134,Personal Impact,https://minoren-han.nl/en/586-personal-impact
135,"Politiek, beleid en overheidsmanagement",https://minoren-han.nl/en/243-politiek-beleid-en-overheidsmanagement
136,Polymeer en Organische Chemie,https://minoren-han.nl/en/566-polymeer-en-organische-chemie
137,Power Minor (deeltijd),https://minoren-han.nl/en/227-power-minor-deeltijd
138,Power Minor (voltijd),https://minoren-han.nl/en/228-power-minor-voltijd
139,Powertrain (full-time),https://minoren-han.nl/en/639-powertrain-full-time
140,PR & Woordvoering,https://minoren-han.nl/en/631-pr-woordvoering
141,Prestatieontwikkeling bij jonge atleten,https://minoren-han.nl/en/399-prestatieontwikkeling-bij-jonge-atleten
142,Psychologie: Gedragsverandering voor Professionals,https://minoren-han.nl/en/573-psychologie-gedragsverandering-voor-professionals
143,Rekenexpert,https://minoren-han.nl/en/270-rekenexpert
144,Research Minor 30 (Bio-informatica),https://minoren-han.nl/en/598-research-minor-30-bio-informatica
145,Research Minor 30 (BML Chemie),https://minoren-han.nl/en/599-research-minor-30-bml-chemie
146,Research Minor 30 (LS Chemistry),https://minoren-han.nl/en/600-research-minor-30-ls-chemistry
147,Retail & Winkelmanagement,https://minoren-han.nl/en/155-retail-winkelmanagement
148,Rivieren van de Toekomst,https://minoren-han.nl/en/607-rivieren-van-de-toekomst
149,Ruimtemakers,https://minoren-han.nl/en/615-ruimtemakers
150,Sales- & Key Accountmanagement,https://minoren-han.nl/en/154-sales-key-accountmanagement
151,"Samen Sterker: klaar voor de gezondheidszorg van
                          morgen!",https://minoren-han.nl/en/618-samen-sterker-klaar-voor-de-gezondheidszorg-van-morgen
